Date,Name,close,high,low,netForeign,open,value,volume
07-02-2009,Property,799.98,809.06,799.98,-89242000.0,803.77,0.0,189134000.0
07-02-2009,Services,1350.4,1357.65,1347.33,144537000.0,1350.66,0.0,656456000.0
07-02-2009,MiningAndOil,5758.23,5772.77,5635.38,3695000.0,5708.37,0.0,192004000.0
07-02-2009,All Shares,1562.47,1575.16,1561.63,0.0,1571.55,0.0,0.0
07-02-2009,PSEi,2438.04,2452.89,2436.81,-14833000.0,2441.47,0.0,1954009000.0
07-03-2009,Financials,536.33,537.18,531.68,28996000.0,533.07,0.0,189736000.0
07-03-2009,Industrials,3373.89,3373.89,3340.35,-23532000.0,3351.01,0.0,287924000.0
07-03-2009,HoldingFirms,1287.73,1292.85,1272.59,-32704000.0,1284.96,0.0,176226000.0
07-03-2009,Property,805.72,808.84,790.75,-24342000.0,792.0,0.0,135634000.0
07-03-2009,Services,1341.1,1348.3,1336.9,54851000.0,1347.99,0.0,621830000.0
07-03-2009,MiningAndOil,5684.6,5684.6,5597.79,-7539000.0,5679.3,0.0,118548000.0
07-03-2009,All Shares,1559.95,1559.95,1551.43,0.0,1555.7,0.0,0.0
07-03-2009,PSEi,2431.34,2433.05,2412.68,-4298000.0,2422.94,0.0,1529901000.0
07-06-2009,Financials,543.09,544.39,538.04,-575850000.0,539.41,0.0,1006115000.0
07-06-2009,Industrials,3438.53,3438.53,3363.86,90391000.0,3379.9,0.0,299260000.0
07-06-2009,HoldingFirms,1314.92,1316.39,1287.7,-3816000.0,1287.7,0.0,241148000.0
07-06-2009,Property,809.34,810.99,798.78,-102599000.0,805.72,0.0,324522000.0
07-06-2009,Services,1327.17,1340.11,1326.25,32048000.0,1340.11,0.0,429665000.0
07-06-2009,MiningAndOil,5854.45,5861.12,5689.54,-8757000.0,5732.76,0.0,207827000.0
07-06-2009,All Shares,1568.82,1568.82,1557.46,0.0,1561.61,0.0,0.0
07-06-2009,PSEi,2449.1,2452.0,2428.34,-568539000.0,2435.04,0.0,2508539000.0
07-07-2009,Financials,547.75,551.27,542.03,-67212000.0,543.09,0.0,161137000.0
07-07-2009,Industrials,3506.29,3533.52,3448.91,-36750000.0,3460.13,0.0,404971000.0
07-07-2009,HoldingFirms,1343.17,1343.17,1312.32,9859000.0,1312.32,0.0,215957000.0
07-07-2009,Property,814.02,823.89,810.19,-70806000.0,810.19,0.0,225820000.0
07-07-2009,Services,1326.36,1329.38,1325.44,-677000.0,1327.17,0.0,454114000.0
07-07-2009,MiningAndOil,5902.68,5919.43,5808.5,-3328000.0,5855.67,0.0,168934000.0
07-07-2009,All Shares,1582.8,1584.46,1569.01,0.0,1571.29,0.0,0.0
07-07-2009,PSEi,2471.76,2478.48,2449.49,-169228000.0,2452.02,0.0,1630936000.0
07-08-2009,Financials,547.6,549.53,543.7,51007000.0,546.42,0.0,112461000.0
07-08-2009,Industrials,3537.41,3537.41,3470.32,61870000.0,3474.45,0.0,404739000.0
07-08-2009,HoldingFirms,1328.83,1340.33,1311.1,3184000.0,1340.33,0.0,302683000.0
07-08-2009,Property,806.89,812.42,804.45,-43678000.0,812.42,0.0,192833000.0
07-08-2009,Services,1312.66,1325.32,1312.66,-16793000.0,1325.32,0.0,2296197000.0
07-08-2009,MiningAndOil,5922.53,5929.2,5803.84,-6158000.0,5846.89,0.0,135696000.0
07-08-2009,All Shares,1578.77,1579.87,1572.5,0.0,1579.64,0.0,0.0
07-08-2009,PSEi,2461.99,2466.39,2447.68,50413000.0,2462.78,0.0,3444611000.0
07-09-2009,Financials,550.77,551.99,546.39,21520000.0,547.6,0.0,230402000.0
07-09-2009,Industrials,3595.09,3595.09,3548.83,-61522000.0,3550.76,0.0,519696000.0
07-09-2009,HoldingFirms,1334.25,1341.6,1327.2,-48171000.0,1331.58,0.0,254607000.0
07-09-2009,Property,819.73,819.73,806.12,43490000.0,806.96,0.0,238152000.0
07-09-2009,Services,1307.11,1318.81,1306.72,-312807000.0,1312.14,0.0,831863000.0
07-09-2009,MiningAndOil,5874.18,5933.37,5821.1,-18910000.0,5887.21,0.0,121558000.0
07-09-2009,All Shares,1589.35,1590.35,1581.45,0.0,1581.45,0.0,0.0
07-09-2009,PSEi,2473.85,2474.95,2463.42,-376472000.0,2463.42,0.0,2196280000.0
07-10-2009,Financials,548.35,554.61,547.19,-17276000.0,554.61,0.0,186558000.0
07-10-2009,Industrials,3632.47,3632.47,3605.65,175261000.0,3611.98,0.0,591255000.0
07-10-2009,HoldingFirms,1337.61,1346.82,1331.07,-23930000.0,1336.06,0.0,297077000.0
07-10-2009,Property,823.33,824.85,816.86,-9050000.0,820.58,0.0,192616000.0
07-10-2009,Services,1317.15,1317.17,1306.26,158560000.0,1306.26,0.0,821422000.0
07-10-2009,MiningAndOil,5912.56,5916.45,5820.6,4638000.0,5851.86,0.0,131700000.0
07-10-2009,All Shares,1597.0,1597.63,1591.77,0.0,1591.87,0.0,0.0
07-10-2009,PSEi,2487.22,2489.32,2478.38,288109000.0,2479.78,0.0,2220631000.0
07-13-2009,Financials,548.5,552.64,546.79,-35625000.0,549.85,0.0,121510000.0
07-13-2009,Industrials,3599.91,3631.23,3586.99,-20191000.0,3630.3,0.0,361024000.0
07-13-2009,HoldingFirms,1340.21,1358.05,1339.06,-76854000.0,1346.86,0.0,674482000.0
07-13-2009,Property,817.51,826.99,814.32,-109134000.0,823.73,0.0,278284000.0
07-13-2009,Services,1322.04,1325.21,1316.68,66511000.0,1316.89,0.0,356209000.0
